ds,yhat,yhat_lower,yhat_upper
2018-06-19,123.91326541350553,109.16277429278534,138.6023587601141
2018-06-20,124.45785900004451,109.56466903867735,140.37544274818828
2018-06-22,122.55645675485493,106.84572620088613,138.42891258416054
2018-06-23,123.62505636617709,108.41925392108111,137.89244244092964
2018-06-25,122.14917235376377,105.39575082100008,138.31525929234456
2018-06-26,123.90036043080313,108.09320929391006,140.17736694973846
2018-06-27,124.44495401734186,108.45490429655212,139.49156650962686
2018-06-28,123.85686436949155,109.38137337373738,138.94336798282174
2018-06-29,122.54355177215605,107.77332227458407,138.74266078395638
2018-06-30,123.61215138347428,108.72010282479769,139.37138973715517
2018-07-02,122.13626737105943,106.61602985863918,137.20537738076152
2018-07-04,124.43204899117441,109.0532924193406,140.32797585884967
2018-07-05,123.84395932159266,109.05500919469745,139.6763725102097
2018-07-06,122.53064670252003,106.5803676051258,138.0260378628834
2018-07-09,122.12336223622843,106.71074091553005,138.85317100539172
2018-07-12,123.83105418676392,108.2807167294358,139.54212177856112
2018-07-13,122.51774156769102,106.3197943960937,137.71041336320908
2018-07-14,123.58634115728292,108.3617946853888,139.1427518610579
2018-07-15,124.63703285950376,109.71973935858709,141.43926958677778
2018-07-17,123.86164515670754,108.60781545913841,139.81029145533046
2018-07-21,123.57343602243941,108.39585203670958,138.69490961445715
2018-07-22,124.62412772467323,109.03964282100232,139.52574246534687
2018-07-23,122.09755196656884,105.92345663334783,136.9496716268702
2018-07-26,123.80524391710676,108.14900135675927,139.40233132677295
2018-07-27,122.49193129812639,108.16315388059112,138.66259637574902
2018-07-28,123.56053088780135,108.36872401936148,139.15842542612978
2018-07-29,124.61122259012501,108.40406987447224,139.98129247494475
2018-07-30,122.08464683211486,106.03021483490218,138.72699000444058
2018-07-31,123.83583488751984,108.02606419999579,139.9799126398119
2018-08-01,124.38042845241982,108.91304211375035,140.19349173117098
2018-08-02,123.79233878293283,107.90936129589697,140.21439609887074
2018-08-05,124.59831745595079,108.93864402752007,139.2618706009266
2018-08-06,122.07174169794432,106.42216378760747,136.48289706971133
2018-08-07,123.82292975334173,109.42963427007012,139.93824427683947
2018-08-09,123.77943364875888,108.58684658253877,140.30812633848367
2018-08-10,122.46612102977744,106.68351395340024,137.14971920140235
2018-08-11,123.53472061687619,107.71496901857608,139.1577991438537
2018-08-12,124.58541231661731,109.34570771364774,138.87657947995916
2018-08-13,122.05883655602251,106.49865826686951,137.5912259203306
2018-08-14,123.81002460883869,108.01535150304048,139.4336574341318
2018-08-15,124.35461817115984,109.04283618252781,139.93582471650996
2018-08-17,122.45321587752431,107.81178325802956,138.6442315273568
2018-08-18,123.52181546462292,108.60805302253397,140.23807367454245
2018-08-19,124.57250716436103,108.22349889932595,139.20683181319598
2018-08-20,122.04593140376808,105.99917055618926,137.03501403356157
2018-08-21,123.79711945658617,108.9069709238804,139.27538617124173
2018-08-22,124.34171301890366,109.09780311059662,139.83351686715147
2018-08-23,123.75362334683416,108.343651793804,138.8903862215476
2018-08-24,122.44031072527943,106.30578118380298,137.5771620896597
2018-08-25,123.50891031236965,109.36235129387457,139.35989519846225
2018-08-26,124.5596020093025,109.53572316160658,141.15570837868128
2018-08-31,122.42740555619538,107.72866832480196,138.0534815240577
2018-09-01,123.4960051404843,108.49224717757821,138.46747032054463
2018-09-02,124.54669683741648,109.42507792382993,140.33161462054693
2018-09-03,122.02012107402163,106.69756777503713,139.62253621175716
2018-09-04,123.77130912403148,108.00128504086065,139.9078701735219
2018-09-05,124.31590268354768,109.0032731764012,139.73256775908098
2018-09-06,123.72781300867095,108.42478661639598,139.54349584466698
2018-09-07,122.41450038430601,107.56295600093434,137.49655363014412
2018-09-08,123.48309996859928,108.97593711764604,139.17300923791595
2018-09-09,124.53379166553043,109.57153474637178,140.43238629554295
2018-09-11,123.75840395214809,108.99253889581068,139.9952145129938
2018-09-12,124.30299751166282,110.60991022149173,139.75992800723847
2018-09-14,122.4015952124215,106.67659178616785,137.502367862491
2018-09-20,123.70200266490312,108.0900872581242,138.77729645643166
2018-09-21,122.38869004053285,107.80419221172939,138.5534016207521
2018-09-23,124.50798132405697,109.25032007237593,140.36747675850665
2018-09-24,121.98140556181242,105.3935532525114,137.39296298447468
2018-09-25,123.7325936129735,109.61174572021332,140.29545022021088
2018-09-26,124.27718717363908,108.97684768917877,139.9446333639742
2018-09-27,123.68909749991084,107.89157991460127,139.22141361697476
2018-09-28,122.37578487669761,105.69480155210996,139.38293575291377
2018-09-29,123.44438446213803,107.508353708222,139.2712221663884
2018-10-03,124.26428200979652,108.36112424201941,139.0951969609499
2018-10-05,122.36287971285338,105.97331259462285,137.71744509525266
2018-10-06,123.4314792982978,107.81171748969085,138.3762745113835
2018-10-08,121.95559523412966,107.96407451703733,138.82298152724894
2018-10-12,122.3499745413749,106.72605414081188,136.50844890705127
2018-10-13,123.4185741249123,107.03955644496477,139.35809561547188
2018-10-14,124.46926582107801,109.20629273542067,139.30456560815333
2018-10-16,123.69387810617432,108.58543759431916,138.575312940144
2018-10-19,122.33706936416712,106.338760946152,137.58496692761085
2018-10-22,121.92978487971253,105.63373141185318,136.64413877752128
2018-10-24,124.225566487717,107.36956183892455,138.85218372923796
2018-10-28,124.44345546666175,109.74881331116383,140.13719903210892
2018-10-29,121.91687970250274,106.97375089437179,137.07668969055294
2018-11-01,123.62457163487363,108.12499864926814,138.91233979955993
2018-11-05,121.90397452529358,107.47516601843101,136.78236975322258
2018-11-06,123.65516257372144,109.46317856314045,139.50836207547295
2018-11-07,124.19975613164927,108.89782231669444,140.26622098314996
2018-11-08,123.61166645518979,107.58994512666678,138.5984236743177
2018-11-09,122.29835382923716,106.27070960198282,137.50865696256935
2018-11-10,123.3669534119441,107.91922086141267,139.49319797289087
2018-11-11,124.4176451072928,110.15756629614609,140.2628132953998
2018-11-12,121.89106934230688,107.10393749447003,137.2945490064093
2018-11-13,123.64225739073667,108.3648714061201,139.067741690245
2018-11-16,122.28544864624708,106.08267579403386,137.56068365358607
2018-11-17,123.3540482289541,108.17787495043585,137.63567457894683
2018-11-18,124.40473992430303,109.64412975384433,139.8420135611711
2018-11-19,121.87816415931957,105.56206447386313,137.9066300320578
2018-11-20,123.62935220774557,108.20276669810318,139.30005024177925
2018-11-22,123.58585608921493,107.45631249255509,138.51955211100721
2018-11-24,123.34114304596734,108.44200398115682,139.11372986169968
2018-11-26,121.86525897633227,106.6936187726891,138.72663993187336
2018-11-28,124.16104058268706,108.96847608341176,139.98230980760115
2018-12-01,123.32823786298056,108.06641998824558,139.00868934672562
2018-12-04,123.60362097184951,107.23685254131527,138.94735177189082
2018-12-05,124.14824090647383,109.56256321169158,140.22237695639419
2018-12-06,123.56017760670605,107.06861668251167,138.8936093838884
2018-12-08,123.31551731684696,107.80785150049074,137.9449288926767
2018-12-10,121.83968600059757,106.80602671678582,137.7543451311298
2018-12-12,124.13552036034038,108.83338778134797,140.63288663297612
2018-12-14,122.23417081131367,107.92487086751747,137.48477940148206
2018-12-17,121.82696545446366,107.67545103345199,136.73691069298664
2018-12-19,124.12279981420353,108.52255976919679,138.61972584730117
2018-12-20,123.5347365144407,107.40941127814311,139.85012429269122
2018-12-21,122.22145026517643,107.14127408624806,138.8545414799019
2018-12-22,123.29007622457908,107.80853864925227,138.4793571541131
2018-12-24,121.81424490833099,106.04583072781709,137.97230184368948
2018-12-25,123.56545933344856,108.36196336758096,139.9562389075152
2018-12-28,122.20872971904745,107.45286243294738,137.3517800471068
2018-12-30,124.33210371692034,106.94274606155035,140.43213101213811
2018-12-31,121.80756931185203,105.9775283125278,137.15348256869578
2019-01-02,124.10743363803019,108.53263912092791,139.20197776650613
2019-01-03,123.52138532147987,107.63832731052563,138.64683121924853
2019-01-04,122.21011405544047,107.42164536730569,137.95250617896562
2019-01-06,124.33348805331903,109.0692881644831,139.52937439943784
2019-01-09,124.10881797442768,109.21129206159232,139.6753753328902
2019-01-10,123.52276965788218,108.45772726288375,138.3841136157731
2019-01-11,122.2114983918383,106.98942222422284,137.08238331504668
2019-01-12,123.28213933446183,107.14032236200038,137.20482591411727
2019-01-14,121.81033798464372,106.65894416148758,137.10208636387122
2019-01-17,123.52415399427642,108.09595128092974,138.75688278693147
2019-01-18,122.21288272823615,107.78734714136385,138.0550660489132
2019-01-19,123.28352367085523,107.31302107882836,138.7571217212636
2019-01-21,121.811722321042,105.53045623670117,136.16219633731876
2019-01-24,123.53452762475978,108.00652165001483,139.43007096579265
2019-01-25,122.22625279008102,106.98626229532753,137.96276319212046
2019-01-29,123.59030751667274,107.24510689187547,138.89775484032975
2019-01-30,124.13993886587485,109.12477233538996,140.39058272411867
2019-01-31,123.5568869806867,107.50920141493366,138.3482674044303
2019-02-01,122.24861214600637,106.47685985623956,137.783636720855
2019-02-03,124.37797900660958,108.49946219610815,139.1204706290199
2019-02-04,121.85644103289894,107.05303029703285,137.3842813564646
2019-02-05,123.61266687260283,108.26820746826674,138.42020008130453
2019-02-06,124.16229822180411,108.7771382343834,139.230894225042
2019-02-07,123.57924633661712,107.29385186099263,138.4260995355873
2019-02-08,122.27097150193653,106.79928946318674,137.2542373328898
2019-02-09,123.34460887592004,106.99714238593117,138.85863933427171
2019-02-10,124.4003383625382,107.94849071753795,139.4610419575032
2019-02-12,123.6350262285303,108.23241904339778,138.8605708558875
2019-02-13,124.18465757773112,108.65293745914445,140.37131389530308
2019-02-14,123.60394239460697,107.39604606463789,138.80789999446966
2019-02-15,122.2980042619891,107.46728862707862,138.49712415702328
2019-02-16,123.37397833803274,107.6482047258723,138.18883353109587
2019-02-18,121.91284325507348,106.0352923636309,136.56499434115818
2019-02-20,124.22337384810103,109.71044402524964,139.48973594442026
2019-02-22,122.33672053236562,106.36818733408896,137.7165959272201
2019-02-23,123.41269460840498,108.07002334882553,138.11303813262703
2019-02-27,124.26209011847318,108.61290435965128,139.7676232958245
2019-03-01,122.37543680273457,106.95084055274815,137.47800333113042
2019-03-02,123.45141087877722,108.12030430023951,138.34614224872
2019-03-04,121.99027579581565,106.77207140380364,137.63380275640165
2019-03-05,123.74883833757713,108.43828723340418,139.91355847245666
2019-03-07,123.72009120572349,108.58778926383151,139.19412893160393
2019-03-10,124.550710994616,109.147427028509,139.5887207917467
2019-03-12,123.79175070258685,108.09653193990091,139.1010751033599
2019-03-13,124.34455797278126,109.1595694926111,138.7282534792816
2019-03-14,123.76468200858653,108.05570018834341,139.82573646933832
2019-03-15,122.45958309489613,106.80908697373621,138.36854442698746
2019-03-17,124.59530179747725,109.03154400379739,139.92115317348043
2019-03-18,122.07693974475835,106.50498459415783,137.70840546978442
2019-03-20,124.38914877564088,108.95903566992529,139.13561039489102
2019-03-21,123.80927281144989,108.81027661126541,139.72991746039222
2019-03-23,123.58098719272789,107.10463260571812,139.11228381383154
2019-03-24,124.63989260033848,109.23315122191445,139.47303193525798
2019-03-29,122.54876470062166,106.64150028583623,138.20836185560796
2019-03-30,123.62557799558982,108.4845614592601,139.6326724575232
2019-03-31,124.6844834031974,109.50425638299167,140.80450410638002
2019-04-03,124.47833038522928,108.89419770726403,138.8128230611252
2019-04-04,123.8984544223204,108.6683308422014,139.96601212130363
2019-04-05,122.59335550992463,106.87952407513203,138.42068996740056
2019-04-08,122.21071216364804,105.67473581529113,137.12241486844104
2019-04-09,123.97011392562736,108.96769123086348,139.64491898977397
2019-04-11,123.94304523419973,106.7341338529246,138.90319363895406
2019-04-13,123.7147596180586,107.38488423727244,139.48092791084926
2019-04-17,124.56751200898331,108.61942074622576,140.32494916133976
2019-04-19,122.68253713368208,106.71848585123368,137.52387550965275
2019-04-23,124.05929554938272,108.20113069990599,139.6982476244653
2019-04-24,124.61210282086203,109.1434094811921,140.0622116197833
2019-04-25,124.03222685795906,107.5177653460641,139.60738034186042
2019-04-26,122.727127945557,107.10935867672272,138.44197557174766
2019-04-27,123.80394124483088,108.83358215325484,139.63540883470233
2019-04-29,122.34448460832981,107.10208101027554,138.04413292238925
2019-05-03,122.77171877854212,107.2213855785907,137.5307647831203
2019-05-04,123.84853207782037,108.0958526676958,139.66686403244574
2019-05-05,124.90743748973478,109.71085014016465,140.58960162877543
2019-05-10,122.81630961153209,107.78795258496717,138.6762204551504
2019-05-11,123.89312291080591,107.9811070395664,139.00131136458518
2019-05-13,122.43366627430575,106.8401243341318,137.60736068428142
2019-05-14,124.19306803930223,109.42723395709532,140.72291682400976
2019-05-15,124.74587531379804,109.6849540624442,140.60642942081162
2019-05-16,124.1659993539065,108.41088236471059,138.3139069644919
2019-05-17,122.86090044451794,108.31760007878724,138.08793250985448
2019-05-20,122.47825710729614,107.39784037965966,137.25846879001674
2019-05-21,124.23765887229212,108.78573060024127,139.82425755708272
2019-05-23,124.21059018689286,108.53628870474405,139.57641151236922
2019-05-24,122.90549128507948,106.84010396827617,138.14404476507366
2019-05-25,123.982304591923,108.45626292990227,139.07772104643644
2019-05-26,125.04121001140247,109.17676793474901,140.41356080779943
2019-05-27,122.52284797055388,105.40687051963178,138.81861294487004
2019-05-28,124.28224974312045,108.81848885860417,139.34361593367345
2019-05-30,124.25518107285552,109.02780554608233,138.7531347414322
2019-06-01,124.02689547787736,108.5118087971272,140.26807565612057
2019-06-02,125.085800897363,109.8113855092667,141.03183977563714
2019-06-03,122.56743885651393,107.22589186914924,138.10460221514816
2019-06-04,124.32684062908119,108.65535546247241,140.9685702849691
2019-06-05,124.87964791114305,110.8001950709381,141.8792267116837
2019-06-06,124.29977195881783,108.45664063720115,139.56381692583173
2019-06-07,122.99467305699875,108.07708225251943,138.5579214273993
2019-06-08,124.07148636384215,108.25534705409314,139.32786616504504
